"%s was added to your shopping cart.","%s byl úspěšně přidán do košíku."
"* Required Fields","* Povinná pole"
"Add New Address","Přidat novou adresu"
"Add New Condition","Přidat nové pravidlo"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to Wishlist","Přidat do seznamu přání"
"Address","Adresa"
"Address %s of %s","Adresa <span class=""shipment-count"">%s</span> z %s"
"After Adding a Product Redirect to Shopping Cart","Po přidání produktu přejít do košíku"
"Allow Guest Checkout","Povolit nákup návštěvníkům"
"Already registered?","Už máte registraci?"
"An error occurred in the process of payment","Vyskytla se chyba při zpracování platby"
"An error occurred while deleting this condition.","Chyba při mazání podmínky."
"An error occurred while saving this condition.","Chyba při ukládání podmínky."
"Apply Coupon","Použít kupón"
"Are you sure you would like to remove this item from the shopping cart?","Určitě chcete tuto položku vyjmout z košíku?"
"Back","Zpět"
"Back to Billing Information","Zpět k fakturačním informacím"
"Back to Select Addresses","Zpět na výběr adres"
"Back to Shipping Information","Zpět k dodacím informacím"
"Back to Shopping Cart","Zpět do košíku"
"Based on your selection, you may be interested in the following items:","Na základě Vašeho výběru by Vás mohly zajímat následující položky:"
"Billing Address","Fakturační adresa"
"Billing Information","Platební údaje"
"Billing Information - %s","Platební údaje - %s"
"Cancel Coupon","Zrušit kupón"
"Cannot add item to the shopping cart.","Položku nelze přidat do košíku."
"Cannot add the item to shopping cart","Položku nelze přidat do košíku"
"Cannot add the item to shopping cart.","Položku nelze přidat do košíku."
"Cannot apply the coupon code.","Kupón nelze použít."
"Cannot open the overview page","Nelze otevřít stránky s celkovým přehledem"
"Cannot remove the item.","Položku nelze odebrat."
"Cannot update shopping cart.","Nelze aktualizovat nákupní košík."
"Card Verification Number Visual Reference","Ověřovací číslo karty"
"Cart Subtotal:","Celkem v košíku:"
"Change","Změna"
"Change Billing Address","Změnit fakturační adresu"
"Checkbox Text","Text zaškrtávacího pole"
"Checkout","Platba"
"Checkout Conditions","Pravidla plateb"
"Checkout Method","Platební metoda"
"Checkout Options","Možnosti platby"
"Checkout Section","Platby"
"Checkout Terms and Conditions","Podmínky platby"
"Checkout as Guest","Zaplatit jako host"
"Checkout as a Guest or Register","Objednat jako host nebo registrovat"
"Checkout with Multiple Addresses","Zaplatit s více adresami"
"City","Město"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Stiskněte <a href=""%s"" onclick=""this.target='_blank'"">zde vytisknete</a> kopii potvrzení Vaší objednánvky."
"Click <a href=""%s"">here</a> to continue shopping.", "Klikněte <a href=""%s"">zde</a> pro pokračování v nákupu."
"Close","Zavřít"
"Company","Společnost"
"Condition Name","Jméno podmínky"
"Configurable Product Image","Obrázek nastavitelného produktu"
"Confirm Password","Potvrdit heslo"
"Content","Obsah"
"Content Height","Výška obsahu"
"Content Height (css)","Výška obsahu (css)"
"Continue","Pokračovat"
"Continue Shopping","Pokračovat v nákupu"
"Continue to Billing Information","Pokračovat k platebním údajům"
"Continue to Review Your Order","Pokračovat ke kontrole objednávky"
"Continue to Shipping Information","Pokračovat k dodacím údajům"
"Country","Země"
"Coupon code ""%s"" is not valid.","""%s"" kód kupónu není správný."
"Coupon code ""%s"" was applied.","Kód kupónu ""%s"" byl úspěšně aplikován."
"Coupon code was canceled.","Kód kupónu byl úspěšně zrušen."
"Create Billing Address","Vytvořit fakturační adresu"
"Create Shipping Address","Vytvořit dodací adresu"
"Data saving problem","Chyba při ukládání dat"
"Default Billing","Výchozí fakturační"
"Default Shipping","Výchozí dodací"
"Delete Condition","Smazat pravidlo"
"Details","Detaily"
"Disabled","Neaktivní"
"Discount Codes","Slevové kódy"
"Display Cart Summary","Zobrazit souhrn košíku"
"Display Shopping Cart Sidebar","Zobrazit postranní lištu košíku"
"Display item quantities","Zobrazit množství položek"
"Display number of items in cart","Zobrazit množství položek v košíku"
"Easy access to your order history and status","Snadný přístup k historii a stavu Vašich objednávek"
"Edit","Upravit"
"Edit Address","Upravit adresu"
"Edit Billing Address","Upravit fakturační adresu"
"Edit Items","Upravit položky"
"Edit Shipping Address","Upravit dodací adresu"
"Edit Terms and Conditions","Upravit pravidla a podmínky"
"Edit Your Cart","Upravit košík"
"Email Address","Emailová adresa"
"Enable Onepage Checkout","Povolit jednostránkové platby"
"Enable Terms and Conditions","Zapnout podmínky"
"Enabled","Aktivní"
"Enter a New Address","Zadat novou adresu"
"Enter your coupon code if you have one.","Vložte kód kupónu pokud ho vlastníte."
"Enter your destination to get a shipping estimate.","Pro odhad poštovného zadejte místo určení."
"Estimate Shipping and Tax","Odhad poštovného a daní"
"Excl. Tax","Bez daně"
"Fast and easy check out","Rychle a snadné placení"
"Fax","Fax"
"Forgot an Item?","Zapomněli jste na něco?"
"Forgot your password?","Zapomněli jste heslo?"
"Get a Quote","Poptat se"
"Grand Total:","Celkem:"
"Grouped Product Image","Obrázek skupiny produktů"
"HTML","HTML"
"ID","ID"
"Incl. Tax","S daní"
"Invalid method: %s","Neplatná metoda: %s"
"Item not found or already ordered","Položka nenalezena nebo již objednána"
"Items","Položky"
"Load customer quote error","Chyba při nahrávání zákaznických omezení"
"Loading next step...","Nahrávám další krok..."
"Login","Přihlášení"
"Manage Checkout Terms and Conditions","Spravovat podmínky plateb"
"Maximum Display Recently Added Item(s)","Maximálně zobrazovat posledně přidaných položek"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximální množství povolené pro doručení na více adres je %s"
"Move to Wishlist","Přesunout do seznamu přání"
"Multishipping Checkout","Pokladna pro více adres"
"Multishipping Checkout Address (Any) Form","Doručení na více adres"
"Multishipping Checkout Billing Address Creation","Doručení na více adres, vytvoření fakturační adresy"
"Multishipping Checkout Billing Address Edit Form","Doručení na více adres, upravení fakturační adresy"
"Multishipping Checkout Billing Address Selection","Doručení na více adres, výběr fakturační adresy"
"Multishipping Checkout Billing Information Step","Doručení na více adres, Krok informace o fakturaci"
"Multishipping Checkout Customer Address Edit Form","Doručení na více adres, zákaznická adresa"
"Multishipping Checkout Overview","Přehled doručení na více adres"
"Multishipping Checkout Shipping Address Creation","Doručení na více adres, vytvoření adresy doručení"
"Multishipping Checkout Shipping Address Edit Form","Doručení na více adres, úprava adresy doručení"
"Multishipping Checkout Shipping Address Selection","Doručení na více adres, výběr adresy doručení"
"Multishipping Checkout Shipping Information Step","Doručení na více adres, Krok informace o doručení"
"Multishipping Checkout Success","Doručení na více adres - Úspěch"
"My Cart","Můj košík"
"My Cart (%s item)","Košík (položek %s)"
"My Cart (%s items)","Košík (položek: %s)"
"My Cart Link","Odkaz na košík"
"New Address","Nová adresa"
"New Condition","Nové pravidlo"
"One Page Checkout","Jednostránková platba"
"One Page Checkout Failure","Jednostránková platba - Chyba"
"One Page Checkout Success","Jednostránková platba - Úspěch"
"Order #","Objednávka č. #"
"Order Review","Souhrn objednávky"
"Order Success","Úspěšně objednáno"
"Other Items in Your Order","Další položky ve Vaší objednávce"
"Password","Heslo"
"Payment Failed Email Reciever","Příjemce emailu ""platba se nezdařila"""
"Payment Failed Email Sender","Odesilatel emailu ""platba se nezdařila"""
"Payment Failed Emails","Email ""platba se nezdařila"""
"Payment Failed Template","Šablona ""platba se nezdařila"""
"Payment Information","Platební údaje"
"Payment Method","Platební metoda"
"Payment Methods After Checkout Button","Platební metody po stisknutí tlačítka K pokladně"
"Payment Methods Before Checkout Button","Platební metody před tlačítkem K pokladně"
"Payment method is not defined","Platební metoda není definována"
"Payment profile # %s: ""%s"".","Platební profil # %s: ""%s""."
"Place Order","Objednat"
"Please agree to all Terms and Conditions before placing the order.","Prosím potvrďte podmínky před umístěním objednávky."
"Please agree to all Terms and Conditions before placing the orders.","Prosím potvrďte podmínky před umístěním objednávky."
"Please agree to all the terms and conditions before placing the order.","Prosím potvrďte podmínky před umístěním objednávky."
"Please log in below:","Prosím přihlaste se níže:"
"Please select region, state or province","Vyberte prosím oblast, stát nebo provincii"
"Please select shipping address for applicable items","Vyberte prosím doručovací adresu pro použitelné položky"
"Please select shipping methods for all addresses","Vyberte prosím způsob dodání pro všechny adresy"
"Price","Cena"
"Proceed to Checkout","K pokladně"
"Product","Produkt"
"Product Name","Název produktu"
"Qty","Množství"
"Quote Lifetime (days)","Množstevní limity (v dnech)"
"Recently added item(s)","Nedávno přidané položky"
"Register","Registrovat"
"Register and save time!","Registrujte se a ušetřete čas!"
"Register to Create an Account","Vytvořit účet"
"Register with us for future convenience:","Registrace přináší mnoho výhod:"
"Remove Item","Odstranit položku"
"Remove This Item","Odstranit položku"
"Remove item","Odstranit položku"
"Review Order","Přehled objednávky"
"Review Order - %s","Recenze objednávky - %s"
"Sales","Prodeje"
"Save Condition","Uložit pravidlo"
"Save in address book","Uložit v adresáři"
"Select Address","Vybrat adresu"
"Select Addresses","Vybrat adresy"
"Select Shipping Method","Vyberte způsob dodání"
"Select State/Province...","Vyberte stát/provincii..."
"Select a billing address from your address book or enter a new address.","Vyberte z adresáře fakturační adresu nebo <a href=""#"" onclick=""billing.newAddress(true); return false;"">zadejte novou</a>."
"Select a shipping address from your address book or enter a new address.","Vyberte z adresáře dodací adresu nebo zadejte novou."
"Send Payment Failed Email Copy Method","Poslat kopii emailu ""platba se nezdařila"" na"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Poslat na"
"Separate by "","".","oddělené "",""."
"Ship to Multiple Addresses","Dodat na více adres"
"Ship to different address","Zaslat na jinou adresu"
"Ship to this address","Zaslat na tuto adresu"
"Shipping Address","Dodací adresa"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Shipping Methods","Dodací metody"
"Shipping To","Poslat na"
"Shipping method has not been selected yet","Ještě jste nevybrali způsob dodání"
"Shipping selection is not applicable.","Vybraný způsob doručení není použitelný."
"Shopping Cart","Nákupní košík"
"Shopping Cart Form Before","Postranní lišta košíku"
"Shopping Cart Sidebar","Postranní lišta košíku"
"Shopping Cart is Empty","Nákupní košík je prázdný"
"Show Content as","Zobrazit obsah jako"
"Some of the requested products are not available in the desired quantity.","Některé produkty nejsou k dispozici v požadovaném množství."
"Some of the requested products are unavailable.","Některé požadované produkty nejsou k dispozici."
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"State/Province","Stát/provincie"
"Status","Stav"
"Store View","Zobrazení obchodu"
"Street Address","Ulice"
"Street Address %s","Ulice %s"
"Submitting order information...","Odesílám informace o objednávce..."
"Subtotal","Součet"
"Telephone","Telefon"
"Terms and Conditions","Pravidla a podmínky"
"Terms and Conditions Information","Informace o podmínkách"
"Terms and conditions","Pravidla a podmínky"
"Text","Text"
"Thank you for your purchase!","Děkujeme za Vaší objednávku!"
"The condition has been deleted","Podmínka byla úspěšně smazána."
"The condition has been saved.","Podmínka úspěšně uložena."
"The onepage checkout is disabled.","Omlouváme se, jednostránkové platby jsou vypnuty."
"The product could not be found.","Produkt nenalezen."
"The product does not exist.","Produkt neexistuje."
"There are <a href=""%s"">%s items</a> in your cart.","Zde jsou  <a href=""%s""><strong>%s položky</strong></a> z Vašeho košíku."
"There is <a href=""%s"">1 item</a> in your cart.","Zde je <a href=""%s""><strong>jedna položka</strong></a> z Vašeho košíku."
"There was an error processing your order. Please contact us or try again later.","Chyba při zpracování objednávky. Prosím zkuste to znovu později, nebo nás kontaktujte."
"This condition no longer exists.","Tato podmínka již neexistuje."
"Total","Celkem"
"Total for this address","Celkem na tuto adresu"
"Unable to set Payment Method.","Nelze zvolit platební metodu."
"Unit Price","Cena za jednotku"
"Update Qty &amp; Addresses","Aktualizovat množství a adresy"
"Update Shopping Cart","Aktualizovat košík"
"Update Total","Aktualizovat součet"
"Use Billing Address","Použít fakturační adresu"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Zpracováváme Vaší objednávku a již brzy obdržíte e-mail s jejími detaily.<br/>Jakmile bude odeslána, dostanete další e-mail s odkazem na sledování zásilky."
"You have no items in your shopping cart.","V košíku nejsou žádné položky."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete e-mail s potvrzením objednávky včetně jejích detailů a odkazu na sledování jejího průběhu."
"Your Checkout Progress","Postup platby"
"Your billing agreement # is: %s.","Vaše číslo platby #: %s."
"Your order # is: %s.","Číslo Vaší objednávky je: %s."
"Your order has been received","Vaše objednávka byla zadána"
"Your order number is ","Číslo Vaší objednávky je "
"Your recurring payment profiles:","Váš profil opakujících plateb:"
"Zip/Postal Code","PSČ"
"osCommerce Orders","Objednávky osCommerce"
